,Amphisbaena bakeri,Amphisbaena barbouri,Amphisbaena caeca,Amphisbaena carlgansi,Amphisbaena caudalis,Amphisbaena cubana,Amphisbaena hyporissor,Amphisbaena innocens,Amphisbaena leali,Amphisbaena manni,Amphisbaena schmidti,Amphisbaena xera,Cadea blanoides,Caiman crocodilus,Crocodylus acutus,Crocodylus rhombifer,Anolis agueroi,Anolis ahli,Anolis alayoni,Anolis alfaroi,Anolis allisoni,Anolis allogus,Anolis altitudinalis,Anolis alutaceus,Anolis anfiloquioi,Anolis angusticeps,Anolis argenteolus,Anolis argillaceus,Anolis baracoae,Anolis barbatus,Anolis bartschi,Anolis birama,Anolis bremeri,Anolis carolinensis,Anolis centralis,Anolis chamaeleonides,Anolis clivicola,Anolis confusus,Anolis cooki,Anolis cristatellus,Anolis cupeyalensis,Anolis cuvieri,Anolis cyanopleurus,Anolis delafuentei,Anolis desiradei,Anolis distichus,Anolis equestris,Anolis evermanni,Anolis ferreus,Anolis fugitivus,Anolis garmani,Anolis garridoi,Anolis gingivinus,Anolis grahami,Anolis guafe,Anolis guamuhaya,Anolis guazuma,Anolis gundlachi,Anolis homolechis,Anolis imias,Anolis incredulus,Anolis inexpectatus,Anolis isolepis,Anolis juangundlachi,Anolis jubar,Anolis krugi,Anolis leachii,Anolis lineatopus,Anolis litoralis,Anolis longiceps,Anolis loysiana,Anolis lucius,Anolis luteogularis,Anolis macilentus,Anolis marmoratus,Anolis mestrei,Anolis monensis,Anolis noblei,Anolis occultus,Anolis opalinus,Anolis ophiolepis,Anolis oporinus,Anolis paternus,Anolis pigmaequestris,Anolis pogus,Anolis poncensis,Anolis porcatus,Anolis porcus,Anolis pulchellus,Anolis pumilus,Anolis quadriocellifer,Anolis reconditus,Anolis rejectus,Anolis roosevelti,Anolis rubribarbus,Anolis ruibali,Anolis sagrei,Anolis scriptus,Anolis sierramaestrae,Anolis smallwoodi,Anolis smaragdinus,Anolis spectrum,Anolis stratulus,Anolis terueli,Anolis toldo,Anolis valencienni,Anolis vanidicus,Anolis vermiculatus,Anolis vescus,Anolis wattsii,Aristelliger cochranae,Aristelliger expectatus,Aristelliger lar,Aristelliger praesignis,Aristelliger reyesi,Aristelliger titan,Capitellum mariagalantae,Celestus agasepsoides,Celestus anelpistus,Celestus badius,Celestus barbouri,Celestus carraui,Celestus costatus,Celestus crusculus,Celestus curtissi,Celestus darlingtoni,Celestus duquesneyi,Celestus fowleri,Celestus haetianus,Celestus hewardi,Celestus macrotus,Celestus marcanoi,Celestus microblepharis,Celestus molesworthi,Celestus occiduus,Celestus sepsoides,Celestus stenurus,Celestus warreni,Cricosaura typica,Cyclura carinata,Cyclura collei,Cyclura cornuta,Cyclura nubila,Cyclura onchiopsis,Cyclura pinguis,Cyclura ricordi,Cyclura stejnegeri,Diploglossus delasagra,Diploglossus garridoi,Diploglossus nigropunctatus,Diploglossus pleii,Diploglossus sp.,Gekko gecko,Gonatodes albogularis,Gymnophthalmus underwoodi,Hemidactylus angulatus,Hemidactylus frenatus,Hemidactylus mabouia,Hemidactylus turcicus,Iguana delicatissima,Iguana iguana,Leiocephalus anonymous,Leiocephalus apertosulcus,Leiocephalus barahonensis,Leiocephalus carinatus,Leiocephalus cubensis,Leiocephalus cuneus,Leiocephalus endomychus,Leiocephalus eremitus,Leiocephalus etheridgei,Leiocephalus jamaicensis,Leiocephalus lunatus,Leiocephalus macropus,Leiocephalus melanochlorus,Leiocephalus onaneyi,Leiocephalus partidus,Leiocephalus personatus,Leiocephalus pratensis,Leiocephalus psammodromus,Leiocephalus raviceps,Leiocephalus rhutidira,Leiocephalus schreibersii,Leiocephalus semilineatus,Leiocephalus sixtoi,Leiocephalus sp.,Leiocephalus stictigaster,Leiocephalus vinculum,Lepidodactylus lugubris,Mabuya desiradae,Mabuya grandisterrae,Mabuya hispaniolae,Pholidoscelis auberi,Pholidoscelis chrysolaemus,Pholidoscelis cineraceus,Pholidoscelis corvinus,Pholidoscelis dorsalis,Pholidoscelis exsul,Pholidoscelis griswoldi,Pholidoscelis lineolatus,Pholidoscelis plei,Pholidoscelis sp.,Pholidoscelis taeniurus,Pholidoscelis turukaeraensis,Pholidoscelis wetmorei,Phyllodactylus wirshingi,Scincella lateralis,Sphaerodactylus altavelensis,Sphaerodactylus argus,Sphaerodactylus ariasae,Sphaerodactylus armasi,Sphaerodactylus armstrongi,Sphaerodactylus asterulus,Sphaerodactylus becki,Sphaerodactylus bromeliarum,Sphaerodactylus caicosensis,Sphaerodactylus callocricus,Sphaerodactylus celicara,Sphaerodactylus cinereus,Sphaerodactylus clenchi,Sphaerodactylus cochranae,Sphaerodactylus copei,Sphaerodactylus cricoderus,Sphaerodactylus cryphius,Sphaerodactylus dacnicolor,Sphaerodactylus darlingtoni,Sphaerodactylus difficilis,Sphaerodactylus dimorphicus,Sphaerodactylus docimus,Sphaerodactylus elasmorhynchus,Sphaerodactylus elegans,Sphaerodactylus elegantulus,Sphaerodactylus epiurus,Sphaerodactylus fantasticus,Sphaerodactylus gaigeae,Sphaerodactylus gilvitorques,Sphaerodactylus goniorhynchus,Sphaerodactylus intermedius,Sphaerodactylus klauberi,Sphaerodactylus ladae,Sphaerodactylus lazelli,Sphaerodactylus leucaster,Sphaerodactylus macrolepis,Sphaerodactylus monensis,Sphaerodactylus nicholsi,Sphaerodactylus nigropunctatus,Sphaerodactylus notatus,Sphaerodactylus nycteropus,Sphaerodactylus ocoae,Sphaerodactylus oliveri,Sphaerodactylus omoglaux,Sphaerodactylus oxyrhinus,Sphaerodactylus parkeri,Sphaerodactylus parvus,Sphaerodactylus perissodactylius,Sphaerodactylus pimienta,Sphaerodactylus plummeri,Sphaerodactylus ramsdeni,Sphaerodactylus randi,Sphaerodactylus rhabdotus,Sphaerodactylus richardi,Sphaerodactylus richardsonii,Sphaerodactylus roosevelti,Sphaerodactylus ruibali,Sphaerodactylus samanensis,Sphaerodactylus savagei,Sphaerodactylus scaber,Sphaerodactylus schuberti,Sphaerodactylus schwartzi,Sphaerodactylus semasiops,Sphaerodactylus siboney,Sphaerodactylus sommeri,Sphaerodactylus sputator,Sphaerodactylus storeyae,Sphaerodactylus streptophorus,Sphaerodactylus thompsoni,Sphaerodactylus torrei,Sphaerodactylus townsendi,Sphaerodactylus underwoodi,Sphaerodactylus williamsi,Sphaerodactylus zygaena,Spondylurus culebrae,Spondylurus fulgidus,Spondylurus haitiae,Spondylurus lineolatus,Spondylurus monae,Spondylurus powelli,Spondylurus turksae,Tarentola albertschwartzi,Tarentola americana,Tarentola crombiei,Thecadactylus rapicauda,Alsophis antiguae,Alsophis antillensis,Alsophis rijgersmaei,Alsophis sp.,Arrhyton ainictum,Arrhyton dolichura,Arrhyton procerum,Arrhyton redimitum,Arrhyton supernum,Arrhyton taeniatum,Arrhyton tanyplectum,Arrhyton vittatum,Boa blanchardensis,Boa constrictor,Boa sp.1,Boa sp.2,Borikenophis portoricensis,Caraiba andreae,Chilabothrops exsul,Chilabothrops fordii,Chilabothrops angulifer,Chilabothrops chrysogaster,Chilabothrops gracilis,Chilabothrops granti,Chilabothrops inornatus,Chilabothrops striatus,Clelia cf. clelia,Cubophis cantherigerus,Cubophis sp.,Cubophis vudii,Epicrates subflavus,Haitiophis anomalus,Hypsirhynchus ater,Hypsirhynchus callilaemus,Hypsirhynchus ferox,Hypsirhynchus funererus,Hypsirhynchus melanichnus,Hypsirhynchus parvifrons,Hypsirhynchus polylepis,Hypsirhynchus scalaris,Ialtris agyrtes,Ialtris dorsalis,Ialtris haetianus,Ialtris parishi,Liophis juliae,Magliophis exiguus,Magliophis stahli,Mitophis asbolepis,Mitophis calypso,Mitophis leptepileptus,Mitophis pyrites,Nerodia clarkii,Pantherophis alleghaniensis,Ramphotyphlops braminus,Tretanorhinus variabilis,Tropidophis bucculentus,Tropidophis celiae,Tropidophis feicki,Tropidophis fuscus,Tropidophis galacelidus,Tropidophis greenwayi,Tropidophis haetianus,Tropidophis hardyi,Tropidophis hendersoni,Tropidophis jamaicensis,Tropidophis maculatus,Tropidophis melanurus,Tropidophis morenoi,Tropidophis nigriventris,Tropidophis pardalis,Tropidophis pilsbryi,Tropidophis semicinctus,Tropidophis spiritus,Tropidophis stejnegeri,Tropidophis stullae,Tropidophis wrighti,Tropidophis xantogaster,Typhlops agoralionis,Typhlops anchaurus,Typhlops anousius,Typhlops arator,Typhlops capitulatus,Typhlops cf. silus,Typhlops contorhinus,Typhlops eperopeus,Typhlops geotomus,Typhlops golyathi,Typhlops gonavensis,Typhlops granti,Typhlops guadeloupensis,Typhlops hectus,Typhlops hypomethes,Typhlops jamaicensis,Typhlops lumbricalis,Typhlops notorachius,Typhlops oxyrhinus,Typhlops pachyrhinus,Typhlops perimychus,Typhlops platycephalus,Typhlops proancylops,Typhlops pusillus,Typhlops richardii,Typhlops rostellatus,Typhlops satelles,Typhlops schwartzi,Typhlops sp.,Typhlops sulcatus,Typhlops syleptor,Typhlops syntherus,Typhlops tetrathyreus,Typhlops titanops,Uromacer catesbyi,Uromacer frenatus,Uromacer oxyrhynchus,Chelonoidis alburyorum,Chelonoidis carbonaria,Chelonoidis cubensis,Chelonoidis dominicensis,Chelonoidis monensis,Chelonoidis sombrerensis,Chelonoidis sp.1,Chelonoidis sp.2,Chelonoidis sp.3,Chelonoidis sp.4,Trachemys decorata,Trachemys decussata,Trachemys scripta
Cuba_extantnat,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cuba_modern,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Culebra_ancient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culebra_extantnat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culebra_modern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand-Terre_ancient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand-Terre_extantnat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand-Terre_modern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Grand Turk_ancient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Grand Turk_extantnat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
